,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,适宜人群,税费解析,装修描述,售房详情,户型介绍,交通出行,别墅类型,周边配套,权属抵押
175,['畅茜园景宜里 田村地铁口板楼两居 不临街'],778,80075,"['海淀', '田村']",2室1厅1厨1卫,顶层 (共9层),97.16㎡,平层,83.74㎡,板楼,南,钢混结构,精装,一梯三户,集中供暖,有,2023/4/8,商品房,2009/6/15,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房双南向户型，采光足，小高板楼，不临街 公摊小交通便利
                  ","
                    本房适合小刚需，家里有老人也可以考虑，有电梯，梯护比1梯三户，居住舒适。
                  ","
                    本房南向两居，原始户型没有改动，空间充足，落地飘窗，采光没有遮挡室内光线充足
                  ","
                    本房现状是自住居家装修，保持的干净整洁，白色墙面，有独立衣橱。
                  ","
                    小区南门有公交车站和地铁站，交通出行便利，南门门口是田村路，可以开车出行。公交336，977，981，688，568等多路公交经过。交通便利。
                  ","
                    此房现在产权清晰没有纠纷，业主家人均同意出售，可以正常交易签约过户。
                  ",,,,,
176,['永定路85号院 正规南北两居室 采光好'],440,78432,"['海淀', '五棵松']",2室1厅1厨1卫,顶层 (共5层),56.1㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,2023/5/25,央产房,1996/5/18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房是满五年唯一公房，采光好，配套设施齐全，交通便利。
                  ","
                    小区是航天单位的家属院，人文环境好，小区有单位食堂，停车方便，物业管理好，治安管理好，出行方便，南门通长安街辅路，东门通永定路。
                  ","
                    房子是满五年唯一的公房，没有增值税，首套购房网签的1%的契税，二套是网签价的3%的契税。
                  ","
                    1号线玉泉路地铁（百度地图776米）小区出南门是复兴路,东门永定路,门口有公交出行方便,下去北边是武警总医院,301医院,华熙,西点茂
                  ",,,,,,,
177,['西直门金融街 时代之光名苑 停车充足 人车分流'],560,86048,"['海淀', '小西天']",1室1厅1厨1卫,低楼层 (共16层),65.08㎡,平层,暂无数据,塔楼,西北,钢混结构,简装,三梯二十一户,集中供暖,有,2022/9/5,商品房,2009/4/1,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    环境优雅，停车充足，俯瞰小区游乐园，功能间大小适宜，有钥匙
                  ","
                    本小区是02年商品房，环境优雅，停车充足，人车分流，24小时保安和热水，居住安全舒适，内有广场，游泳馆，健身房，幼儿娱乐场所，配套完善。山东鲁能物业，物业费3.5元，停车费小区业主300元/月，非业主500元/月，步行850米可到西直门地铁，交通便利。
                  ","
                    本房是西北向1室1厅1厨1卫，一进门是19.8平客厅，客厅带明窗，客厅南侧是6.1平卫生间，卫生间西侧是4.1平厨房，客厅北侧是11.7平朝北的卧室，卧室西侧是1.9平小阳台，可储物可晾晒衣物，户型方正实用，我有钥匙随时可看。
                  ","
                    1，本小区位于西直门地铁站北行850米，停车充足，适合城内外做地铁/开车的人。2，小区全天保安和热水，还有广场，游泳馆，健身房，幼儿娱乐场所，适合有老人，孩子的家庭。3，小区北侧350米有枫蓝购物综合体，南侧900米有凯德MALL购物综合体，适合购物
                  ","
                    开车：本小区停车充足，出小区车库可上西直门北大街，南行800米可上北2环，西2环。 坐公交地铁：出小区南门，南行120米可到索家坟公交站（21路;69路[原691路];375路;387路;686路;693路），南行1站地到西直门地铁站（2.4.13）出小区南门步行800米也可到。
                  ",,,,,,
178,['岭南路26号院，南北向两居室，中楼层，户型方正环境好'],760,126879,"['海淀', '定慧寺']",2室1厅1厨1卫,中楼层 (共6层),59.9㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,2023/5/31,已购公房,1998/5/20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年唯一税费少，中间楼层采光好，明厨明卫环境优美，管理好
                  ","
                    岭南路26号院，共有3栋楼，环境不错，楼间距比较大，无遮挡，南侧采光很不错，绿化好，人文环境好，核情报所宿舍楼，央产房，物业管理好。
                  ","
                    中间楼层，主卧室朝南15.2平米带阳台，次卧室朝北10.4平米，带个储藏间，厨房和卫生间都有窗户，明厨明卫，进门餐厅有7.5平米，户型方正，没有浪费面积。
                  ","
                    公园： 玉渊潭公园，中塔公园，紫竹院公园
医院：304医院，空军总医院，海军总医院等三甲医院
交通：地铁6号线花园桥站，地铁10号线西钓鱼台站
                  ",,,,,,,
179,['航天桥马神庙一号核二院单位分房精装三居诚心售随时看'],925,115337,"['海淀', '定慧寺']",3室1厅1厨1卫,顶层 (共18层),80.2㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,精装,两梯八户,集中供暖,有,2023/4/3,商品房,2016/8/24,普通住宅,满五年,非共有,"
                                有抵押 300万元
                              ",已上传房本照片,"
                    满五年唯一，税费少节约购房成本，东南向格局好，视野开阔采..
                  ","
                    核二院又名马神庙1号院，小区一共24栋楼，都是核工业第二研究设计院的单位分房，无其他单位。2015年底才允许上市交易的，不过只有不到1/3的房产能交易，小区内有一所幼儿园，两个超市，一个餐厅，一个医务室，生活便利
                  ","
                    房子格局方正合理，有正规客厅，没有什么浪费面积，两梯五户，东南朝向，东向带阳台。
                  ","
                    此房有电梯，采光好，小区环境好，适合有老人或小孩的家庭，不用爬楼梯。
                  ","
                    房子是满五年的，家庭唯一住房，税费成本低。首套买房只有1%契税，二套3%契税。节约您的购房成本。
                  ","
                    此房精装修，厅砖卧木，三年前业主自住装修，做了断桥铝隔音窗户，隔音效果好。
                  ",,,,,
180,['石油大院 2室1厅 南 北'],639,104927,"['海淀', '二里庄']",2室1厅1厨1卫,底层 (共11层),60.9㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯九户,集中供暖,有,2023/6/14,央产房,2005/4/25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,
181,['岭南路26号院，南北向两居室，中楼层，户型方正环境好'],760,126879,"['海淀', '定慧寺']",2室1厅1厨1卫,中楼层 (共6层),59.9㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,2023/5/31,已购公房,1998/5/20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年唯一税费少，中间楼层采光好，明厨明卫环境优美，管理好
                  ","
                    岭南路26号院，共有3栋楼，环境不错，楼间距比较大，无遮挡，南侧采光很不错，绿化好，人文环境好，核情报所宿舍楼，央产房，物业管理好。
                  ","
                    中间楼层，主卧室朝南15.2平米带阳台，次卧室朝北10.4平米，带个储藏间，厨房和卫生间都有窗户，明厨明卫，进门餐厅有7.5平米，户型方正，没有浪费面积。
                  ","
                    公园： 玉渊潭公园，中塔公园，紫竹院公园
医院：304医院，空军总医院，海军总医院等三甲医院
交通：地铁6号线花园桥站，地铁10号线西钓鱼台站
                  ",,,,,,,
182,['永景园 户型方正 无浪费面积 不临街'],610,78568,"['海淀', '田村']",2室1厅1厨1卫,底层 (共6层),77.64㎡,平层,暂无数据,板楼,西 北,混合结构,精装,一梯三户,集中供暖,无,2023/2/13,已购公房,2000/12/19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    永景园 户型方正 无浪费面积 不临街
                  ","
                    永景园一共有8栋楼，1、2、3、4、5号楼是武警总医院家属院，6、7、8号楼是橡胶一厂单位的房子。小区管理严格，24小时保安站岗巡逻，进出登记。院内停车有序，固定车位
                  ","
                    房本面积77.64㎡，户型方正实用。厨房，卫生间，客厅大（厨房6.8㎡朝北明厨，卫生间5㎡明卫，客厅朝西28.3㎡，不算阳台面积，客厅带有大阳台
                  ","
                    小区位于永定路与阜石路交叉口北侧200米，公交有田村半壁店南站，距离小区门口100米，97、355、334、运通114等公交车经过本站，出行便利，还有京客隆，物美等大型购物商场，购物方便，医院有武警总医院，航天医院，301等医院，配套齐。
                  ",,,,,,,
183,['永定路57号院2区朝南一居室不临街'],388,91726,"['海淀', '五棵松']",1室1厅1厨1卫,中楼层 (共6层),42.3㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,2023/7/19,商品房,2023/7/17,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房朝南采光无遮挡，中间楼层，不临街
                  ","
                    永定路57号院是属于航天系统的公房社区，小区居住人员素质高，邻里和睦。小区绿化环境都很好，而且停车方便，一年费用400元，车位充足。
                  ","
                    小区配套齐全，购物有：华熙购物，蓝色港湾等；银行有：中国银行，北京银行，工商银行等，医院有：301医院，武警总医院等；公园有：星期八主题公园；餐饮有：必胜客，KFC，呷哺呷哺等，可以说休闲娱乐、购物、医疗、设施齐全，满足您日常的购物娱乐医疗所需。
                  ","
                    小区位置优越，东门距离长安街仅有600米，距离小区341米有永定路口北公交站，经停的有4路，334路，611路等公交车，出行方便。（以上距离均出自高德地图）
                  ",,,,,,,
184,['双地铁（10号线+在建16号线）东向一居室 面积大格局好'],720,95796,"['海淀', '苏州桥']",1室1厅1厨1卫,低楼层 (共22层),75.16㎡,平层,75.16㎡,塔楼,东,钢混结构,精装,三梯二十三户,集中供暖,有,2023/8/4,商品房,2022/4/20,公寓/公寓,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    双地铁（10号线+在建16号线）东向一居室 面积大 格局好 视野好
                  ","
                    小区是2004年的小区，物业24小时值班，外来人员必须登记在册，管理严格，严谨。安全居住舒适度高，人文环境优质。
                  ","
                    中关村商圈上班，或者要求近地铁，好地段，居住体验好。年轻小夫妻
                  ","
                    房子是朝东向的正规一居室，独立的厨房，民水民电有燃气，卫生间有浴缸，卧室和客厅朝南，高楼层，视野好，采光好，享受清晨一缕阳光，居住舒适
                  ","
                    地铁10号线和16号线换乘站苏州街地铁口，北医三院海淀院区和中国中医科学院西苑医院，新中关购物，领展购物等，满足您的日常购物需求
                  ","
                    房子在4号线海淀黄庄地铁站和10号线苏州街地铁站中间位置，距离苏州街地铁站B口480米，距离海淀黄庄地铁站A口650米（以上数据来源于百度地图）。
                  ",,,,,
185,['塔院小区正规三居室板楼带电梯小区中间位置'],970,120647,"['海淀', '牡丹园']",3室1厅1厨1卫,中楼层 (共6层),80.4㎡,平层,暂无数据,板楼,南 北,混合结构,其他,一梯三户,集中供暖,有,2023/8/3,已购公房,2021/8/25,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年唯一，南北通透带客厅三居，中间楼层6层板楼带电梯
                  ","
                    板楼 南北通透 正规三居室 明厨明卫 主卧室朝南带阳台 次卧室也朝南空间合理 小卧室朝北 客厅可以摆放餐桌小沙发等家具 整体户型比较方正 采光和通风比较好
                  ","
                    商超：翠微超市，美廉美超市，超市发超市等 医院：北医三院，火箭军总医院 出行：地铁10号线 地铁19号线 昌平南延线 公交车 塔院南门站
                  ",,,,,,,,
186,['海淀上郡 2021年 万科物业 有电梯 精装修 交通方便'],430,47949,"['海淀', '海淀北部新区']",2室1厅1厨1卫,底层 (共21层),89.68㎡,平层,67.18㎡,板塔结合,南,钢混结构,精装,两梯五户,集中供暖,有,2023/7/30,二类经济适用房,2022/2/9,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    次新小区2021年初交房，万科物业管理好，有地下车位。
                  ","
                    小区是2020年底-2021年初交的房子，楼龄比较新，在海淀北部新区比较难得；万科的物业，物业费2.91元/月/平，管理挺好的；小区都是带电梯的房子；
                  ","
                    房子是当初开发商精装修交房时的样子，业主目前没有住，朋友在这里住过一段时间，目前房子保持的挺好的。
                  ","
                    小区位于沙阳路以及京新高速(G7)东北角，开车会很方便，出了小区门口就可以直接上京新高速，往南可以直接到北清路、后厂村路、五环等，往东可以通过沙阳路到京藏高速，往西可以直接到西六环。
                  ",,,,,,,
187,['西直门 金晖嘉园 满5唯一 视野开阔 精装修 远观国贸'],1450,135705,"['海淀', '小西天']",2室2厅1厨1卫,中楼层 (共27层),106.85㎡,平层,暂无数据,塔楼,东南 南,钢混结构,精装,三梯八户,集中供暖,有,2023/7/29,商品房,2023/6/26,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满5唯一，南向 ，精装修 ，视野开阔 ，楼层好
                  ","
                    此房为金晖嘉园7号楼，新美开发商，麦斯顿物业，24小时门卫把守，小区北侧护城河，南侧采光视野好观景，居住人群主要是中国铝业和首钢国际领导人员，以及金融街白领置业人群较多，居住人群稳定素质高，本小区换手率低
                  ","
                    房本满五年，业主在北京目前只有这一套房子，只有契税.首套契税1.5%，二套契税3%.
                  ","
                    本房出行方便，西边是索家坟公交站，距离西直门地铁13号线，2号线，4号线也就500多米，门口有347，27，104，44，公交站点，出行很方便。
                  ",,,,,,,
188,['农大家属院 有电梯，正规三居室，满五唯一央产 精装修'],980,112670,"['海淀', '学院路']",3室1厅1厨1卫,中楼层 (共14层),86.98㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯七户,集中供暖,有,2023/7/24,已购公房,2023/3/1,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五唯一，精装修 有电梯，楼龄新，看房方便 价格可谈，校内。
                  ","
                    正规三居室，有电梯 老少皆宜，满五唯一央产，校内环境优美，景色宜人。
                  ","
                    配套成熟，购物卖场，大大小小，公园奥森跑跑步，鸟巢广场跳跳舞，吃完晚饭，旁边的小月河溜达溜达消消食；这个区域是大家长，年轻人，小朋友，充满活力的一个地方；
                  ","
                    房子是满五唯一央产房，交易起来只有契税，首套网签价的1%，二套网签价的3%，土地出让金1358元
                  ","
                    业主15年装修的，一直自住，保持的比较好，拎包即可入住，看房方便价格可谈。
                  ","
                    小区出行很方便，出门步行150米就是地铁15号线六道口地铁站、北行100米会有大型商超，物美、圣熙八号，嘉华国际影城，劳逸结合不能耽误生活。小区出口300米就有加油站，便捷加油。开车出行横有四环与五环；纵有G7与G6，纵横交错方便出行。
                  ",,,,,
189,['新康园北向三居，落地窗，业主变现诚售'],490,53734,"['海淀', '西三旗']",3室1厅1厨1卫,高楼层 (共24层),91.19㎡,平层,暂无数据,塔楼,北,钢混结构,简装,四梯十四户,集中供暖,有,2023/7/28,商品房,2023/7/27,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五唯一商品房，无抵押，落地窗，视野好，格局好
                  ","
                    房子是北向的小三居，户型方正，没有缺角，无浪费面积，高楼层，视野好
                  ","
                    房子是满五年唯一的商品房，交易过程中只有一个契税，首套1.5%，二套3%
                  ","
                    小区西边300米就是物美和三旗百汇市场（日常百货、粮油米面、瓜果蔬菜、生鲜海货等等，日常生活很便利，消费成本低），北边200米是龙旗购物广场和永辉（保利影院，KFC，麦当劳等）。小区里还有商店，饭店，家政等。（数据来源百度地图）
                  ",,,,,,,
190,['气象西苑 板楼大四居 一梯两户 南北通透'],1600,112415,"['海淀', '紫竹桥']",4室2厅1厨2卫,低楼层 (共12层),142.33㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2023/7/23,商品房,2021/8/23,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房南北通透四居室带电梯，一梯两户
                  ","
                    小区是气象局单位分房，小区管理到位，物业服务态度好，24小时值班，巡逻，居住人群单一
                  ","
                    南北通透，三间卧室朝南，一间卧室朝北，厨房餐厅朝北。南面正对小区花园，北面正在宝莲体育场，视野采光好
                  ","
                    小区距离地铁6号线，10号线慈寿寺地铁站仅560米（数据来源于百度地图）小区南侧是玲珑路，西侧是蓝靛厂南路，交通便利
                  ","
                    售房原因：变现，房子无抵押，无贷款，无不良信息，产权干净清晰，随时能过户。
                  ",,,,,,
191,['西三环紫竹桥 财智会馆 楼龄新 有电梯 只有契税'],370,89894,"['海淀', '紫竹桥']",1室0厅1厨1卫,低楼层 (共17层),41.16㎡,平层,暂无数据,塔楼,东,钢混结构,简装,四梯三十四户,集中供暖,有,2023/4/18,商品房,2018/4/16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五唯一商品房，没有抵押、没有户口，有电梯，配套成熟
                  ","
                    小区是2004年商品房，民水民电，没有燃气，70年商品房住宅，四部电梯，24小时运行，有地下车库，共2层，地下车位租金600元每月，地上车位500元左右每月
                  ","
                    西三环紫竹桥区域，配套成熟。楼下有京东便利店、物美、世纪金源购物等；有三甲医院：空军总医院。
                  ","
                    距离地铁10号线车道沟站1000米（高德地图测距），距离地铁6号线慈寿寺1500米（高德地图测距），西门向北200米上下（高德地图）有公交站，经过多辆公交。距离三环主路距离1500米（高德地图测距）
                  ",,,,,,,
192,['通透四居室 全明格局 南观中国尊北看玉泉山 有车位'],2250,115361,"['海淀', '世纪城']",4室2厅1厨2卫,高楼层 (共19层),195.04㎡,平层,162.47㎡,塔楼,东南 西北,钢混结构,精装,三梯九户,集中供暖,有,2023/7/7,商品房,2021/9/26,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五唯一，产权清晰，次次顶层，南北观景，居住舒适度高
                  ","
                    世纪城三时雨园是2005年建成的纯商品房社区，共有12栋楼，采用板塔结合的设计，分为南北两排，中间是一条从东到西的绿化带跟水系，儿童娱乐区，老人休闲区及安静的亭榭。小区采用封闭式管理，人车分流，电梯直达地下车库。
                  ","
                    明厨明卫，东南西北通透、进深短，三面通风，通透性优于一般板楼户型。
                  ","
                    商场：世纪金源，集餐饮、休闲、娱乐、购物为一体的大型综合体。能量城市（世纪金源旗下娱乐运动主题综合体）
超市：卜蜂莲花、果蔬好、盒马鲜生、憨邻福、家家悦超市等
                  ","
                    主干道：出小区200米上四环主干道，1.5公里上三环主干道，1公里上昆玉河快速路（限速80，全程无红绿灯）
地铁：距离10号线长春桥700米,未来12号远大路站出小区150米即到。
公交：小区南侧远大路站、东侧蓝靛厂中路站十几条公交路线的换乘站。
                  ",,,,,,
193,['如园北区，经典四居室，双明卫，可观西山'],3060,120516,"['海淀', '西北旺']",4室3厅1厨3卫,中楼层 (共11层),253.91㎡,平层,215.89㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2023/3/26,商品房,2022/12/8,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，看房方便，中高楼层，稳定签约
                  ","
                    小区介绍： 开发商：五矿和万科联袂打造，2013-2018年交房，万科物业，小区管理比较好人车分流，保安24小时执勤，刷卡入户，每栋楼都有管家，小区环境好，地下车位充足！物业费：6.9元/平/月；集中供暖
                  ","
                    配套齐全，出行方便，适合上班族；万科精装修，保持好，也可做婚房；小区房龄新，人车分流，环境好，改善很合适。
                  ","
                    2017年交付的房子，南北通透，三面采光，双明卫。主卧室套书房和客厅朝南向，一次卧朝西向，一次卧朝北向，总高10层这套房子位于6层，采光充足。
                  ","
                    小区北边是在建设中的万象汇，今年9月竣工使用，小区西北角就是16号线地铁西北旺站出行方便，小区南边是百旺公园，逛公园比较方便
                  ",,,,,,
194,['【优质房源】当代中间位置大三居高楼层南北通透'],1398,94857,"['海淀', '上地']",3室2厅1厨2卫,中楼层 (共11层),147.38㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯三户,自供暖,有,2023/4/28,商品房,2023/4/28,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五唯一 南北通透大三居 小区中间位置 高楼层 餐客分离
                  ","
                    小区环境小区占地21万平总共24栋住宅楼低密度社区总高6-12层海淀十佳花园社区漂亮的樱花大道绿化覆盖率42环境优美居住舒适人文素质高业主基本都是高校老师和软件园高管物业北京瑞赢物业物业费1.9元平月
                  ","
                    客厅、主卧朝南 客厅30平落地飘窗朝南 主卧16.2平带落地大阳台、独立卫生间朝南 两间次卧朝北带飘窗 厨房中西厨设计 餐厅13.8平 餐客分离 使用方便
                  ","
                    交通便利 距离13号线、昌平南延线、京张高铁清河站500米（数据来源于百度地图）
                  ",,,,,,,
195,['双榆树北里 3室1厅 东 南 北'],800,128825,"['海淀', '双榆树']",3室1厅1厨1卫,高楼层 (共6层),62.1㎡,平层,暂无数据,板楼,东 南 北,混合结构,其他,一梯三户,集中供暖,无,2023/1/5,已购公房,1999/4/22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,
196,['龙翔路城建三公司1997年家属楼，2022年小区刚改造完'],419,98775,"['海淀', '牡丹园']",1室1厅1厨1卫,顶层 (共6层),42.42㎡,平层,暂无数据,板楼,东 西,钢混结构,精装,一梯两户,集中供暖,无,2023/7/10,商品房,2015/12/10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    1997年楼龄，城建三公司家属楼，东西通透，采光好，满五唯一
                  ","
                    本房是正规一居室，进门是客厅8.5平米可以摆放了一组衣柜，主卧室8.3平米，阳台3.6平米，厨房6.2平米可当卧室，厨房移到客厅里，卫生间1.9平米，房子虽然小，布局设计合理，板楼，采光好，一梯两户，都是一居，人口密度低
                  ","
                    房本登记日期已满五年，家庭唯一住房，产权清晰，单独产权，产权清晰，随时签约。
                  ","
                    配套齐全，生活方便。边上各大银行均有，医院有北医三院，306医院，城建社区门诊等。购物百货超市有翠微百货，美廉美超市，家乐福超市等。
                  ","
                    全新装修5年，免去您重新装修的风险。可以拎包入住，全部使用环保材料。不用担心甲醛危害，用料讲究，材质上乘，颜色搭配活泼简约不简单。空间利用合理，充分发挥每一处空间，整体简单大方 ，低调中的奢华，舒适柔和
                  ",,,,,,
197,['夏霖园满五唯一南向一居中间楼层'],555,100471,"['海淀', '西北旺']",1室1厅1厨1卫,中楼层 (共6层),55.24㎡,平层,49.22㎡,板楼,南,混合结构,简装,一梯三户,自供暖,无,2023/3/23,二类经济适用房,2011/4/1,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    南向一居室，户型方正，中间楼层，房本满五年
                  ","
                    夏霖园小区建成于2003年，开发商是德成置地，总共12栋楼，其中1、2号楼为总高9层的电梯房，其余10栋为6层不带电梯板楼，24小时安保，进出小区需刷门禁卡，访客登记，小区内设有公共停车位，有国家电网充电桩，小区业主办理停车证后可免费停车，生活便利；
                  ","
                    售房原因换房，所以出售此房，业主人不错，希望早日找到合适的买家。
                  ","
                    一进门就可以看见宽敞明亮的客厅，卧室空间也不小，带阳台和储物间，分布合理，功能间好利用，温暖舒适的房间让您拥有每一个甜美夜晚，在温馨的厨房中，您可以为您的家人准备美味可口的饭菜，干净方正的洗漱间，宽敞够用；
                  ","
                    小区南门和西边分别有公交站：夏霖园南门站，途径公交线路有333路、982路、963路、909路、365路等多趟公交，去往上地、西二旗、回龙观、中关村、北京西站等十分便利，小区距离地铁16号线西北旺站直线距离400米左右（数据来源：百度地图）
                  ",,,,,,
198,['稻香园西里 大一居 明厨明卫 带电梯 高楼层 满五唯一'],618,119536,"['海淀', '苏州桥']",1室1厅1厨1卫,高楼层 (共18层),51.7㎡,平层,暂无数据,塔楼,东南,钢混结构,简装,两梯八户,集中供暖,有,2023/3/8,已购公房,2004/3/8,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年唯一，带电梯高楼层，明厨明卫，户型好，诚心买房
                  ","
                    稻香园西里小区位于海淀区西北三环外，交通方便、配套成熟，生活气息浓郁。小区是北京安居物业分公司管理，物业费0.73元/平，集中供暖，民水民电通燃气，东西两个大门，进出方便。
                  ","
                    本房是带电梯的大一居室，东南朝向，采光好，事宜老人孩子居住，上下楼方便、居住更舒适。
                  ","
                    本房是1990年前后建成的，钢混结构，东南朝向，明厨明卫带阳台，宽敞明亮。进门是玄关然后进入客厅，带有一个比较大的储物间，放置东西更方便。
                  ","
                    本房产权是商品房性质，满五年家庭唯一住房，交易只有契税，没有其他多余税费，税费成本低。产权清晰，无抵押无查封无占用。
                  ",,,,,,
199,['天作国际中心 2008年商品房 临地铁 有电梯'],720,81940,"['海淀', '皂君庙']",1室1厅1厨1卫,中楼层 (共31层),87.87㎡,平层,暂无数据,塔楼,东,钢混结构,精装,四梯二十六户,集中供暖,有,2023/2/9,商品房,2016/12/28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年唯一 精装修，有电梯，临地铁，24小时热水
                  ","
                    天作国际开发商：北京东方家园房地产开发有限公司 物业公司：威尔斯物业 物业费：平层5.9元，复式6.9元 建成年代：2004年拿地，2006年建，2008年交房 楼栋：1号楼AB座（写字楼）； 2和3号楼公寓，70年产权
                  ","
                    房子是酒店式公寓设计，东侧落地飘窗，进门右手边是卫生间很大比较好用，左手边是开放式厨房，在向东是客厅，客厅东侧卧室。
                  ","
                    房子是满五年唯一的商品房，税费成本低。首套购房契税1.5%，二套3%
                  ","
                    当时开发商精装修交房，24小时热水，可以拎包入住，空调冷暖季都有
                  ",,,,,,
200,['临近公主坟地铁，楼层低，精装修，诚心出售；'],615,114739,"['海淀', '公主坟']",2室1厅1厨1卫,底层 (共6层),53.6㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,2023/1/5,商品房,2016/12/25,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子为三元牛奶家属楼，业主前几年买的精装修，产权清晰
                  ","
                    南北朝向，无遮挡，主卧朝南带阳台，客厅与北侧小卧室墙体非承重墙体，客厅大小合适，利用率比较高；成熟社区配套齐
                  ","
                    复兴路翠微百货，城乡贸易，凯德晶品，印象城，玉渊潭公园，烟雨公园，三甲医院301解放军总医院，水利医院，空军总医院，配套齐全。
                  ","
                    公主坟地铁1号线10号线，335,337,1,64，414.624.308等多路公交，北面是阜石路，南面是莲石路，自驾出行方便
                  ",,,,,,,
201,['北三环 知春路 大泥湾小区 南向一居室 诚意出售'],610,130621,"['海淀', '中关村']",1室1厅1厨2卫,顶层 (共6层),46.7㎡,暂无数据,暂无数据,板楼,南,混合结构,其他,一梯两户,集中供暖,无,2022/7/11,商品房,2016/11/30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    南向一居室 采光视野无遮挡 看房方便
                  ","
                    目前房子空置，看房提前约就可以，周期和价格都可以商量，想了解本房更多信息，欢迎随时在咨询
                  ","
                    南向一居室，采光视野无遮挡，适合一家人居住，格局合理，户型方正
                  ","
                    小区邻地铁10号线知春里站，10号线和4号线换乘站海淀黄庄站，海淀医院，中关村医院
                  ",,,,,,,
202,['小西天 明光村小区 南向 电梯直达 无遮挡'],568,94984,"['海淀', '小西天']",2室1厅1厨1卫,低楼层 (共18层),59.8㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯七户,集中供暖,有,2023/5/2,商品房,2010/9/30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    电梯直达 南向 无遮挡 主卧朝南带阳台 能实现南北通风
                  ","
                    小区是首华物业1.97元/㎡/月，市政标准集中供暖；大型社区，平时在小区里散步、健身也可以； 小区是以木材厂和原物资局福利分房为主；总共21栋楼，分东门和北门，24小时有保安值班。
                  ","
                    房子原始格局是2居室带厅；由于居室需求，在原本厅的位置改成了小卧室，且有窗。主卧室设计成了厅+卧，方便接待客人。房子视野无遮挡，采光不错。
                  ","
                    小区位于北二环和北三环中间，明光桥的西南角。生活配套成熟。医院有三所三甲医院，分别是北大人民医院，火箭军总医院，北医三院。小区内有自己的社区诊所，可以刷医保拿药看病。小区北门有物美超市，东门是枫蓝国际商场，方便购物满足日常所需。
                  ","
                    小区出北门是学院南路，出东门是西直门北大街；公交车站：北门有明光村/明光桥西/明光桥 公交站，小东北门是明光桥南公交站，往南两站地西直门地铁2号4号13号线和北京北站。这个位置交通方便，出行便利。
                  ",,,,,,
