,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,周边配套,交通出行,售房详情,适宜人群,户型介绍,装修描述,权属抵押,税费解析,别墅类型,用水类型,用电类型,燃气价格
80,['近地铁 百通馨苑一区 多层中间楼层 户型方正 全天采光'],172,18499,"['李沧', '下王埠']",2室2厅1厨1卫,低楼层 (共6层),92.98㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2023/8/7,商品房,2008/3/27,普通住宅,满五年,非共有,"
                                有抵押 100万元 建设 业主自还
                              ",已上传房本照片,"
                    户型通透、多层好楼层、诚意出售、看房方便
                  ","
                    百通馨苑一区是百通星源房地产开发得。小区共分三期，于05年、06年、08年毛坯交付。小区共15栋楼，三栋带电梯。小区位于金水路北，内部设施齐全，绿化很好，既安全又拥有较高的品质绿化，自带活水湖，环境优美
                  ","
                    小区靠金水路，100多家门头，理发，药店，蔬果，生鲜等一应俱全。西300米百通农贸市场，西500米维客广场，700米李村公园等配套。分为南门和北门
                  ","
                    M2号线延长线和15号线下王埠站在建，南门公交线路有，363、387、640、路等多条公交，去市内四区城阳即墨都很方便。交通四通八达
                  ",,,,,,,,,,
81,['套三，带地下车位，元宝户型，随时看'],130,14733,"['城阳', '白云山']",3室2厅1厨1卫,低楼层 (共13层),88.24㎡,平层,暂无数据,板楼,南,钢混结构,其他,两梯两户,集中供暖,有,2023/8/6,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片,"
                    保持的很好，里面都是做好的柜子，不动，随时看房。
                  ","
                    万科金域华府小区位于城阳区瑞阳路与烟青路的交汇处以西，南边就是旅游胜地国学公园，西面有海都广场（包括新建农贸市场） 城阳大型居住社区。
                  ","
                    国学公园 海都广场 后田大酒店 莲池妇幼保健院 韩国领事馆 购物：有小型商店、利群、家佳源商圈 银行：建行ATM机、邮政、农商银行。
                  ",,,,"
                    动静分离，双南卧 ，格局方正， 各个功能间面积合理 ，双阳台贯通， 楼层高采光好， 全明户型， 厨卫都有窗户， 保证通风采光顺畅。
                  ",,,,,,,
82,['优房推荐：婚装+全明格局+南北通透+随时看房'],220,24248,"['市北', '合肥路佳世客']",2室2厅1厨1卫,低楼层 (共22层),90.73㎡,平层,70.54㎡,板楼,南 北,钢混结构,简装,两梯五户,集中供暖,有,2023/8/16,商品房,2010/12/23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子南北通透，小高层，全名格局，配套齐全
                  ","
                    小区开发商是中房，10年建成，小高层，楼间距大，封闭式小区，管理严格，打卡进出。小区物业也是中房自己的物业管理十分负责，卫生及时清理，物业费1元（包含电梯费），居住舒适
                  ","
                    小区北侧下午晚上有夜市，低价实惠种类齐全，西有居然之家和美食城 凯德茂，长沙路地铁站和多条公交路线，东有佳世客 和齐鲁医院，南有妇女儿童医院。本小区属于接地气的小区，衣食住行，都比较方便
                  ","
                    说到交通，地铁必不可少，M3号线长沙路站距离本小区586米（数据来源于高德地图），地铁优势 快捷 准时，地铁是每个购房者都梦寐以求的。此小区东南西都有多辆公交线路，可直接到达市区内各个大商场公园景点
                  ",,,,,,,,,,
83,['楼层好 视野开阔 采光充足 户型方正 海景视野好'],135,12207,"['黄岛', '东方影都']",3室1厅1厨1卫,中楼层 (共32层),110.6㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯七户,集中供暖,有,2023/8/9,商品房,2018/6/20,普通住宅,满五年,非共有,"
                                有抵押 47万元
                              ",已上传房本照片,"
                    楼层好 视野开阔 采光充足 户型方正 海景视野好
                  ","
                    小区人车分流 老人小孩出行安全 物业万象美物业，每栋楼有一个管家，管理好 保安负责任，必须有门禁卡才能进小区，没有必须登记 环境干净整洁，进入园区给人舒服的感觉 小区内有公园 有健身设施，有小孩南卧玩的设施，可以带孩子在公园玩，强身健体
                  ","
                    小区1.6公里有融创茂综合体，据项目2公里有地铁 13号线朝阳山地铁站。项目北侧有一所三甲医院，有大剧院明星活动都在这举行，有酒店文华酒店。环岛塑胶跑道景观环境好，锻炼身体心情愉悦
                  ","
                    岛上公交车有60、61、213、78路多条公交车 2、距离融创茂北侧朝阳山地铁站直线距离大概1000米左右 3、向西为灵山湾枢纽站，多条公交路线到达胶南和青岛
                  ",,,,,,,,,,
84,['水青花都二期 小套三高楼层 采光佳 马上满五唯一'],122,14088,"['城阳', '东方城东']",3室2厅1厨1卫,高楼层 (共26层),86.6㎡,平层,65.6㎡,板楼,东 南,钢混结构,其他,两梯两户,集中供暖,有,2023/8/7,商品房,2018/9/27,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    小套三 高楼层 采光佳 视野好 客厅带大飘窗
                  ","
                    人车分流，鑫江物业，全封闭式小区，安全性高，西临黑龙江中路，东临王沙路，多条公交线经过，交通便利。小区门口有生鲜市、便利店，生活方便。南邻李沧区，北靠东方城商圈，生活娱乐方便。
                  ",,"
                    小区两侧黑龙江路和王沙路上都有公交车站，公共交通十分便利。 黑龙江路地铁15号线正在建，站点就在小区北侧
                  ",,,"
                    双南卧一北卧客厅朝东，东边户，高楼层，阳台朝南，客厅带大飘窗。
                  ",,,,,,,
85,['新岭花园 改善三居室明厅，精装修拎包入住'],179,20875,"['市北', '错埠岭']",3室1厅1厨1卫,中楼层 (共7层),85.75㎡,平层,暂无数据,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,2023/8/16,商品房,2014/10/15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    楼层低平台在上一层三楼高度，精装修保护好 拎包入住
                  ",,"
                    房子位于新岭花园小区 近辽源路与绍兴路 有公交站 近地铁 交通便利 近麦凯乐 新业广场 有早市 购物方便 四周有大大小小的餐厅饭店 近妇女儿童医院
                  ","
                    房子位于新岭花园一期，交通便利有公交站，交通线路多，离地铁三号线错埠岭站步行500米（此数据来源于百度地图）
                  ",,,"
                    本房是一套正三室一厅户型，客厅明窗，两个南向加北向卧室布局，业主装修时间不长，保护的仔细，可以拎包入住
                  ",,,,,,,
86,['吾悦广场西侧 精装修未住三居 高楼层视野好可看海'],126,10699,"['黄岛', '灵山卫']",3室2厅1厨1卫,高楼层 (共18层),117.77㎡,平层,暂无数据,板楼,东 南 北,钢混结构,精装,两梯四户,集中供暖,有,2023/8/7,商品房,2021/4/15,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房南北通透格局，视野好，着急卖，精装修未住，随时看房
                  ","
                    小区位于东岳东路上，门口就是灵山卫东街农贸市场，有鲁疆购物广场和购物市场，满足的基本的需求。且小区交通方便，具有多处公交车，直达家佳源和利群，金沙滩景区等。交通甚是便利
                  ","
                    小区楼前是东岳路和滨海大道，往西有万达东方影都，往东有梦时代广场、成龙影城，积米崖渔人码头，能够满足您逛街购物的需求
                  ","
                    小区距离灵山卫地铁站约700米。交通便利 观海华庭二期小区门口公交有4路、37路、202路、203路、806路，13号地铁等，通往家佳源和利群都有直达车，交通十分便利。
                  ",,,"
                    房子是次新小区的，10年建成的，70年产权，边户视野很好，可以看整个体育公园，南北通透的户型设计，保证了房子的居住舒适性
                  ",,,,,,,
87,['新上远洋自然精装套二，南北通透，业主诚心出售'],235,27489,"['崂山', '国信体育场']",2室1厅1厨1卫,低楼层 (共30层),85.49㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯四户,集中供暖,有,2023/8/19,商品房,2016/11/4,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房精装修，南北通透，格局方正，配套齐全，生活便利，
                  ","
                    2014年远洋在崂山建的的人车分流封闭式小区，总共6栋楼1066户，远洋自己的上市物业，保洁每天打扫楼道单元2次，保安每天巡逻单元四次，都签字打卡，但物业费1.9元每平方每月（含电梯费）。有景观活动区，适合小朋友和老人休息运动；
                  ","
                    配套齐全：距离地铁4号线埠西站500米（高德地图步行距离），距离地铁4号线和5号线大埠东站828米（高德地图步行距离）；南面到浮山森林公园仅有1公里，步行大约需要10分，小区西门就是口袋公园，可以跑步打球；购物有丽达茂，埠西市场，大润发等。
                  ",,,"
                    适合情侣婚房，不用再装修；也适合有小宝宝的年轻夫妇，也适合老年养老。
                  ",,"
                    21年业主大概花重金重新装修的，全新，业主很注重生活品位，装修装饰的有格调，保护也很好，可以拎包入住。
                  ",,,,,,
88,['锦湖苑 3室1厅 南 北'],228,17347,"['黄岛', '天泰']",3室1厅2厨2卫,高楼层 (共7层),131.44㎡,错层,119.23㎡,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,2023/8/13,商品房,2003/1/14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,,,,
89,['海景好，无遮挡，户型方正，南北通透，海景房，无个税'],72.5,6993,"['黄岛', '黄岛港']",3室2厅1厨1卫,高楼层 (共34层),103.68㎡,平层,77.1㎡,板楼,南 北,钢混结构,毛坯,六梯四户,集中供暖,有,2023/8/14,商品房,2021/1/21,普通住宅,满两年,非共有,"
                                有抵押 64万元 招商
                              ",已上传房本照片,"
                    毛坯套三，前排无遮挡，户型方正，南北通透，海景房，无个税。
                  ","
                    小区配套成熟，入住率高，绿化高达30% ，人车分流。小区有沿街底商，下楼就是原来的万达广场，已经开业两年，入住的有万达影院、麦当劳、全时健身等等满足您的日常生活需求。项目内万达广场商圈、飞翔的鸥海岸景观等购物和休闲配套共同打造丰富美好生活
                  ","
                    项目内万达广场商圈、飞翔的鸥海岸景观组团等、购物和休闲共同打造丰富美好生活体系，建成后将成为一个集居住、购物、教育、医疗、休闲于一体的教育之城、大海之城，以美好精筑兑现一湾栖居理想
                  ","
                    小区交通出行方便，现在有16路 802路 55路公交车，可直达辛安、开发区、汽车站等。后期会有多条公交开通小区后期规划11条公交线路，目前开通的有三条，802路，东16路，55路，825路可以直达1号地铁线的安子东站，1号线已开通。
                  ",,,,,,,,,,
90,['锦绣城朗园 3室2厅 南 北'],118,11822,"['黄岛', '六中']",3室2厅1厨1卫,低楼层 (共26层),99.82㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯四户,集中供暖,有,2023/8/8,商品房,2019/7/4,普通住宅,满两年,共有,"
                                有抵押 50万元 公积金 业主自还
                              ",已上传房本照片,,,,,,,,,,,,,,
91,['金秋泰和郡毛坯套三 楼层视野好 业主卖房意向好'],103,11737,"['城阳', '东方城东']",3室1厅1厨1卫,中楼层 (共27层),87.76㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,2023/8/13,商品房,2020/7/8,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子是毛坯的 楼层和视野很好 绿城物业
                  ","
                    金秋泰和郡位于玉虹路16号，由高层和别墅两种产品，绿城物业，小区绿化好、空气好； 李村，东方城购物商场，李沧万达三大商圈； 城阳三医、城阳人民医院、青岛第八人民医院
                  ",,"
                    小区邻王沙路、黑龙江路，青银高速等多条交通要道，公共交通—111、131、371，106，372，109等；M15（在建中
                  ",,,"
                    楼龄新，2019年建成，南北通风、动静分离户型，南厅连接阳台，阳台有下水可以放洗衣机，户型方正，居住舒适
                  ",,,,,,,
92,['小区前排，好楼层，看山看海，视野开阔，采光充足'],86,10197,"['黄岛', '海王路']",2室1厅1厨1卫,高楼层 (共34层),84.34㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯五户,集中供暖,有,2023/8/10,商品房,2020/4/10,普通住宅,满两年,共有,"
                                有抵押 20万元 业主自还
                              ",已上传房本照片,"
                    小区前排，看山看海，视野开阔，采光充足
                  ","
                    开发商为K2地产，物业为北京石榴物业，物业费2.38元，内设迎宾叠水，儿童游乐场，以及一所幼儿园。
                  ","
                    小区东面有德泰利群购物广场，银行、新华书店、大中小型餐饮店、娱乐k一应俱全 ，小区北面还有维客大型商。小区楼下的商铺也有市、药店、水果店、蔬菜店，只需发个就把日常所需的物品上门服务好，满足小区业主们日常生活
                  ","
                    小区内设有幼儿园另外业主子女可享受海王路高质量教育让孩子赢在起跑线
                  ",,,,,,,,,,
93,['满二 店长推荐 采光好 精装修 近地铁 北岭 杭州路急售'],130,19680,"['市北', '北岭']",2室1厅1厨1卫,高楼层 (共26层),66.06㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯八户,集中供暖,有,2023/8/17,商品房,2020/9/7,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子是2017年次新小区，精装修，南北卧，满两年无大税。
                  ","
                    小区是2017年次新小区，位于瑞昌路141号，小区环境优美，居住舒适，交通便利。
                  ",,"
                    杭州路上有5路、24路、305路、325路等公交车，距离小区400米有地铁1号线北岭站。
                  ",,"
                    刚需年轻客户，以及老年人都可以，电梯房，小区配套完善。生活便利。
                  ","
                    户型是南北卧南客厅，通透，比较方正，无任何浪费面积，经典套二，采光视野好。
                  ",,,,,,,
94,['幸孚茂 地铁口 锦绣城和园 套四改善 精装修 诚心出售'],185,12634,"['黄岛', '六中']",4室2厅1厨2卫,高楼层 (共18层),146.44㎡,平层,110.94㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2023/3/11,商品房,2021/5/21,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    新小区小高层，一梯一户，人车分流无遮挡，精装修，配套成熟，
                  ","
                    开发商是中建集团，物业是中建集团自己的物业公司，对后期的服务质量也都有所保障，封闭式小区管理规范，安全入住安全出行
                  ","
                    大型购物机构向西三公里位置是胶南体育馆和双珠公园，有城市阳台4A级景区，红树林，欢乐海湾等
                  ","
                    小区门口公交站有10，28路，3路，西路公交等多条公交线路，小区门口往西2分中是地铁13号线凤凰山路地铁站，去往开发区和胶南都很方便
                  ",,,,,,,,,,
95,['花溪地上下两层加负一层 大院子 两个车位 同户型价低'],229,16497,"['城阳', '女姑']",4室2厅1厨2卫,低楼层 (共4层),138.82㎡,,暂无数据,,南 北,钢混结构,毛坯,,集中供暖,,2023/6/1,商品房,2018/2/13,别墅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    青特花溪地二期稀有户型，同户型价位低，一楼带院子，两车位
                  ","
                    小区介绍：青特花溪地位于白沙河南岸，邻龙湖滟澜海岸别墅社区，由青特置业开发。青特花溪地花溪地总占地面积11.2万平米，总建筑面积13.5万平米，容率为1.20%，绿率为35%，可容纳总户数885户..
                  ","
                    小区有小剑桥幼儿园，红黄蓝幼儿园，菲一格尔幼儿园，小剑桥幼儿园，还有怡海，环湾公园 白沙湾足球基地
                  ","
                    公共交通公交车761路765路766路908路941路937路等多路公交车途径青特花溪地公交站 直达市政府 四方区 高新区 铁路北站 913路直达城阳
                  ",,,,,,,暂无数据,,,
96,['银盛泰德郡 联排中户 精装带院带车位'],255,12771,"['城阳', '惜福镇']",4室3厅1厨3卫,低楼层 (共3层),199.68㎡,复式,189.18㎡,板楼,南,钢混结构,精装,一梯六户,集中供暖,无,2021/12/31,商品房,2011/10/27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房是银盛泰德郡一期的联排中间户，位置靠里。
                  ","
                    交通出行：楼下就是公交车站，出行方便，1、 环境优美，物业好，优质房源！ 2、 经典户型，采光好！ 3、 配套设施齐全，成熟社区！
                  ","
                    有利客来、汪家、 明佳、家佳源、 农业银行、农商银行、 中国银行、 肯德基 、惜福镇医院、青岛大学附属心血管病医院(城阳)、青岛宜利民康医院等，距离城阳第三人民医院仅7km
                  ","
                    铁骑山路旁，500米范围内有：109，111、116，131，371，372等通往李村及台东；901，902，903沿正阳路通往城阳及高新区；904.938通往汽车北站；926路城阳人民医院至仰口风景区，620路琴岛理工大学至仰口风景区等去仰口自驾车18km，距离流亭机场10k
                  ",,"
                    银盛泰德郡小区是集双拼 联排 叠拼别墅与高层组成，小区环境优美安静，白领以及退休老人比较多一些。
                  ",,"
                    此房为房东精装修，自选环保材料，自住标准，您可以实地来感受一下。
                  ",,,,,,
97,['吾悦商圈旁 独栋海边别墅 毛坯随意装修'],560,16306,"['黄岛', '积米崖']",5室2厅1厨3卫,低楼层 (共2层),343.45㎡,跃层,343.45㎡,板楼,南 北,钢混结构,毛坯,一梯一户,集中供暖,暂无数据,2023/6/19,商品房,2014/12/11,普通住宅,满五年,非共有,"
                                有抵押 300万元 金融公司 业主自还
                              ",已上传房本照片,"
                    吾悦商圈旁 独栋海边别墅 毛坯随意装修
                  ","
                    小区由多层住宅、双拼和独栋别墅组成，在积米崖渔人码头西侧海边，小区很安静，没有一点噪音。卫生保持的不错，路面干干净净。
                  ","
                    小区东侧是积米崖渔人码头，每天都有新鲜的海鲜在卖，去吾悦广场永旺梦乐城商圈1000米即可到达。
                  ","
                    出小区门口是51、27、203路公交车，去开发区，胶南都比较方便，距滨海大道1000米，交通便利。
                  ","
                    房产证是公司的名字，多年一直闲置着，准备卖了变现。。。。。。。
                  ",,"
                    独栋别墅毛坯，地上三层，没有负一层，一层是客餐厅、厨房、卫生间，外加一个车库。二层是四个房间二个卫生间，三层是阁楼层高很高，也有卫生间。院子大约有100平左右。
                  ",,,,,,,
98,['龙湖物业打造 位置好，地下停车场直接入户，户型方正.'],368,16873,"['城阳', '女姑']",4室3厅1厨4卫,低楼层 (共3层),218.1㎡,复式,200.5㎡,板楼,北 南,钢混结构,毛坯,一梯三户,集中供暖,暂无数据,2022/7/19,商品房,2019/3/18,普通住宅,满两年,非共有,"
                                有抵押 220万元 工商银行 业主自还
                              ",已上传房本照片,"
                    此房龙湖物业打造 位置好，地下停车场直接入户，户型方正.
                  ","
                    小区建成2018年，龙湖物业，集中供暖 供暖费用30.4/m??,民水民电 ，停车费用50 小区物业环境保持干净 风景优美。
                  ","
                    生活配套齐全，聚鑫源和，流亭街道社区医院， 东方伊甸园，岛民运动公园，休闲娱乐 乐享惬意生活、有8所幼儿园，教育雄厚，同时也方便上下学。
                  ","
                    步行300米即可到达的滟澜海岸和院公交车站，让给您的出行更加便捷，距高新区，青岛市北车站5公里
                  ",,,,,,,,,,
99,['天一赫廷电梯洋房，环境好眺山观海大学城，价格能商量'],138,10913,"['黄岛', '大珠山']",3室2厅1厨2卫,高楼层 (共11层),126.46㎡,平层,暂无数据,暂无数据,南 北,钢混结构,毛坯,一梯两户,暂无数据,暂无数据,2023/5/5,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片,"
                    古镇口大学城，电梯洋房户型方正 采光好 环境很好 大学城 生..
                  ","
                    小区位于青岛市西海岸新区军民融合新区，由青岛天一集团樱珠山房地产开发有限公司建成，总建筑面积158175，总占地面积70000，共计房屋240户
                  ",,,,"
                    小区环境优美，气候宜人，适合喜欢安静的，喜欢带院子的，改善居住环境的，房子很不错
                  ",,,,,,,,
100,['世茂红墅湾联排别墅，户型好，位置好，小区环境好'],260,14067,"['城阳', '高新区']",4室3厅1厨3卫,低楼层 (共3层),184.83㎡,复式,暂无数据,板楼,南 北,钢混结构,毛坯,一梯八户,集中供暖,无,2020/4/28,商品房,2016/12/29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    位于小区中间位置，随时可以看房，业主诚心出售
                  ","
                    华贯路世茂红街是人气比较高的街区！吃、穿、住、行、玩一应俱全！在建的世茂52+商场明年投入使用！祥茂河湿地公园，健身。休闲、游水好去处！英派斯健身房健身、运动好去处
                  ","
                    世茂公园美地小区，是高新区最早建设的小区2010年拿地，现如近交房已经4年多，配套相对比较成熟，有自己的商街，世茂红街，52+商场现已封顶，定于20年6月份投入使用
                  ","
                    有772-773-767-775等多路公交车，公交出行方便道路四通八达，开车出行也很方便地铁8-9号线，高铁站
                  ",,,,,,"
                    商品房，70年大产权，满二年免大税，只需要缴纳2个点个人所得税，和1.5个点的契税，总计总房款3.5的税费。
                  ",,,,
101,['精装未住 龙湖下叠别墅 前排无遮挡 采光视野好'],370,12957,"['城阳', '女姑']",4室2厅1厨3卫,低楼层 (共4层),285.58㎡,复式,268.79㎡,板楼,南 西北,钢混结构,精装,一梯两户,集中供暖,暂无数据,2022/6/24,商品房,2017/9/28,普通住宅,满五年,非共有,"
                                有抵押 190万元 工商银行 客户偿还
                              ",已上传房本照片,"
                    精装修下叠别墅，带地下室+院子+车位
                  ","
                    小区环境很漂亮，物业每天都在冲洗路面，进出小区严格登记，24小时安保，居住起来很安心 小区西侧为白沙湾足球训练基地，运动设施齐全，东侧为龙湖滟澜星座，集购物，餐饮，休闲娱乐于一体的消费点，小区南侧800米为青岛流亭医院，医疗设备齐全
                  ",,"
                    处于大青岛交通枢纽位置双高路、环胶州湾高速双埠路口。公共交通公交车761路765路766路908路937路941路931路等多路公交车途经龙湖艳澜海岸公交站直达四方区高新区市政府汽车北站铁路北站，交通便利
                  ",,,,"
                    房子装修风格比较现代，精装未住，适合一家两代或者三代人居住，装了空调和地暖。
                  ",,,,,,
102,['西边户上叠改建完成，带车位70平院，急售优质边户'],280,20005,"['城阳', '高新区']",4室2厅1厨3卫,中楼层 (共4层),139.97㎡,复式,暂无数据,暂无数据,南 北,钢混结构,毛坯,一梯四户,暂无数据,暂无数据,2022/9/13,商品房,2019/6/3,普通住宅,满两年,非共有,"
                                有抵押 110万元 业主自还
                              ",已上传房本照片,"
                    西边户上叠改建完成，带车位70平院，急售 优质边户采光充足
                  ","
                    茂墅一期，是中欧国际城首期别墅产品，打口碑的一期 【2】小区分布有18层高层，4层叠加别墅，双拼产品，属于综合住宅区 【3】花园小区，环境宜居
                  ","
                    目前亚洲唯一一座英国伊甸园，亚热带雨林公园 【2】以及高新区规划的综合商览秀城，目前均已开工建设，于2022年底竣工。 【3】52+商场和华贯路农茂市场 【4】39中明年投入使用
                  ","
                    火炬路主干道，环湾 青兰高速 华中路 直通市区及相邻区域 交通方便，公交线路丰富 766路、776路到火炬路宝源路站下，西行500米即达；767路、773路、776路到河东路祥源路站下，沿祥源路往南约1.5公里。
                  ",,,,,,,,,,
103,['多层花园洋房一楼复式利用面积大带大院能看海'],490,38351,"['崂山', '西姜']",6室1厅1厨2卫,低楼层 (共3层),127.77㎡,复式,105.66㎡,板楼,南,混合结构,简装,一梯两户,自供暖,无,2019/9/3,商品房,2008/6/12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房是多层花园洋房，一楼错层加复式带个院子
                  ","
                    小区是2003年建成的，小区里面除了别墅，全部是三层的洋房，沿海一线的好位置，而且此小区物业很负责，外来人员进入小区必须登记才可进去，保安人员都是24小时值班，小区位置安静，交通方便，是您居家的不二选择，适宜居住。
                  ",,"
                    小区距离公交站仅百米距离（来源于百度地图），途经的公交车有104、301、304、612、629、380等，出行十分方便。
                  ",,"
                    阳光山庄小区，三十栋楼共215户，最前排是双拼别墅，后排的8、9、10三栋楼是独栋别墅，其他的均为总高三层的花园洋房，百分之五十绿化，适合改善养老人群。
                  ",,,,,,,,
104,['精装温泉独栋别墅 大院子上下二层 拎包入住 180平院'],345,14596,"['即墨', '即墨温泉']",4室3厅1厨3卫,低楼层 (共2层),236.37㎡,,暂无数据,,南,钢混结构,精装,,暂无数据,,2023/2/27,商品房,2017/5/18,别墅,满五年,非共有,"
                                有抵押 200万元 浦发 业主自还
                              ",已上传房本照片,"
                    独栋别墅 大院子 门口有公交车 环境优美上下二层 拎包入住
                  ",,"
                    小区前后都有集市，可以买到新鲜海鲜和纯绿色无公害产品。小区门口公交可以直达地铁站。
                  ","
                    距离地铁11号线皋虞站仅3公里，公交车比较少，出行需要开车.......
                  ",,,"
                    房子是独栋产品，地上2层，一楼有单独的卧室，2楼卧室带楼台，视野开阔，托斯卡纳风格。
                  ",,,,暂无数据,,,
105,['海景绿洲 2室1厅 北 南'],72,7445,"['黄岛', '世纪大道']",2室1厅1厨2卫,中楼层 (共29层),96.71㎡,平层,69.42㎡,板楼,北 南,钢混结构,其他,两梯三户,集中供暖,有,2023/8/18,商品房,2014/1/21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,,,,
106,['盛世北区好房，经理推荐！东户全明，采光视野无遮挡！'],192,15502,"['黄岛', '江山南路']",3室2厅1厨2卫,中楼层 (共31层),123.86㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,2023/8/16,商品房,2011/8/12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    盛世北区好房，经理推荐！东户全明大三居，采光视野无遮挡！
                  ","
                    此小区是青岛海西城市有限公司开发。物业是青岛金和海宇物业服务有限公司服务，物业费1.6元/㎡。小区车位充足，停车出行方便。小区有两个进出门，南门可以人行，南门侧面有出入地库的口，西门可以人行也可以车辆进出。
                  ","
                    小区地理位置优越，小区门口有华夏银行，建设银行ATM， 小区靠着富春江购物广场 薛辛庄大集 生活方便，出门就有公交车站，出行方便。
                  ","
                    江山南路，开发区贯穿南北的主干路！富春江路连接东西！小区门口多条公交线经过，21路51路28路等，交通便利。m1 m6号线，离富春江路站100m
                  ",,,,,,,,,,
107,['浮东小区 海关分房 70年产权  近地铁 南京路范围'],230,26187,"['市南', '闽江路']",2室2厅1厨1卫,低楼层 (共6层),87.83㎡,平层,80.58㎡,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,无,2023/8/17,商品房,2002/11/12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    近地铁江西路站 小区内部 平地二楼 户型方正，双南卧明厅，通透
                  ","
                    这个小区比较大，有园林局的，政府的，海关的等各个单位的福利分房，小区内部还有个街心花园，有孩子活动的空间，锻炼身体的地方。小区已经重新改造完了，外墙也重新做完保温墙重新粉刷了。可以实地的过来看看
                  ",,,,"
                    本房位置好，近浮山所农贸市场，八大湖早市，近江西路地铁站，出行购物都便利。配套设施齐全，生活很方便，适合各个年龄段人士居住。
                  ","
                    房子是1995年的福利分房，海关自己建的，房屋质量好，一梯两户，居住舒适。这个房子户型是双南卧西明厅北厨房北餐厅，户型方正，南北通透。
                  ",,,,,,,
108,['2019年建成  低密社区 精装修洋房社区 小区舒适整洁'],170,15651,"['黄岛', '柳花泊']",3室2厅1厨1卫,中楼层 (共11层),108.62㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,暂无数据,2023/8/20,商品房,2021/4/7,普通住宅,满两年,非共有,"
                                有抵押 80万元
                              ",已上传房本照片,"
                    2019年建成  低密社区 精装修洋房社区 小区舒适整洁
                  ","
                    珠山小镇 定位为山地别墅群落，项目三面环山，规划为托斯卡纳风格的类独栋别墅为主，辅以法式源筑风格的高层住宅；观体系则利用山体落差以及原有绿地，打造不同风格的东西向景观通廊、南北向叠水景观带
                  ","
                    房所在位置在小珠山脚下，小区内设有商店，往东1500米是北下庄大集，时间是周六跟周日。
                  ",,,,,,,,,,,
