,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
245,['定慧北里规划委独院管理南北厅朝南两居楼龄新有车位'],730,86689,"['海淀', '定慧寺']",2室1厅1厨1卫,高楼层 (共6层),84.21㎡,平层,暂无数据,板楼,南 北,混合结构,毛坯,一梯两户,集中供暖,无,2023-05-24,已购公房,2001-06-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年公房性质，对首付要求低，独院管理，管理和环境都很棒
                  ","
                    原始格局是两居，业主把北边卧室墙打掉当餐厅了，南北通透 大客厅朝南 没遮挡 采光充足 视野好 管理好居住舒适
                  ","
                    业主卖房变现 诚意度高 看房方便有钥匙 产权清晰 没抵押 没户口
                  ","
                    6号线五路居站 定慧寺公交站 开车出行阜石路 西四环 航天桥 配套成熟
                  ",,,,
246,['魏公村 农影小区两居室 北理工东门'],848,113309,"['海淀', '皂君庙']",2室1厅1厨1卫,中楼层 (共14层),74.84㎡,平层,暂无数据,板塔结合,东 南,钢混结构,精装,一梯三户,集中供暖,有,2023-06-21,已购公房,2007-02-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    本房是业主名下满五年住房，诚心出售，采光好
                  ","
                    农影小区是CCTV-17套农业影视频道的家属院，一共6栋楼，建成年代2000年左右，楼之间还有小花园儿，小区管理很好，有24小时的门口，近地铁，交通便利。
                  ","
                    此房的户型比较少，很少出房，两个卧室带客厅，采光好，没有任何遮挡，没有浪费面积，实用性很高
                  ","
                    农影小区交通便利，出行方便，小区门口两侧就有地铁，公交，有华宇时尚购物商场，理发店，休闲娱乐等设施
                  ",,,,
247,['莱圳家园 南区正规南向两居室 中间层 满五唯一'],783,106314,"['海淀', '清河']",2室1厅1厨1卫,中楼层 (共15层),73.65㎡,平层,62.06㎡,板楼,南,钢混结构,简装,一梯三户,集中供暖,有,2023-07-15,商品房,2021-08-21,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一 正规南向两居 中间楼层 采光好
                  ","
                    莱圳家园南区是2006年的小区 小区环境好，安静怡人，小区内有人工湖，假山。适合居住，小区南侧和北侧分别有两个市政公园。平时茶余饭后可以到公园里去遛弯，散步。
                  ","
                    房子户型是小区正规南向两居室，客厅卧室厨房全部朝南，采光好，格局方正无浪费面积。
                  ","
                    从小区北门出来东行500米 到 8号线西小口地铁(来源于百度地图）交通方便，出行便利。
                  ",,,,
248,['世纪城二期板楼两居室，户型方正'],1560,124056,"['海淀', '世纪城']",2室1厅1厨2卫,高楼层 (共15层),125.75㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯三户,集中供暖,有,2023-07-21,商品房,2007-05-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年，唯一，板楼两居室，户型好，位置好
                  ","
                    开发商是金源宏大开发商，物业是世纪颐和物业，物业费是2.52元，总共14栋楼，200米沃尔玛生活超市，小区内两条水系，家家门前有条河，窗窗推窗见水景。园区内部假山、水系、荷花池、瀑布、广场、健身器材等设施完备.内部环境幽美,自成社区公园!
                  ","
                    业主卖房是为了出国变现，诚意出售，目前是租户在住，看房需要提前联系，
                  ","
                    距离三环800米，距离四环600米，距离公交站200米，距离10号线车道沟地铁站1000米。
                  ",,,,
249,['复兴路61号院  满五年商品房  业主诚售  看房方便'],1025,130408,"['海淀', '万寿路']",3室1厅1厨1卫,中楼层 (共6层),78.6㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,2023-01-30,商品房,2012-03-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房源满五年唯一，南北通透，南北双向阳台，采光佳
                  ","
                    复兴路61号院简称农业部大院，分东西两个区域，共21栋楼，东区15栋，西区6栋，小区基本已经完成老旧小区改造，停车位充足，租赁车位每年1800元
                  ","
                    中高楼层，正规的三居室，两个卧室朝南一个卧室朝北，南北双向阳台，方便晾晒衣物，前后均无遮挡，采光好，视野佳
                  ","
                    小区内有便民超市，便民水站，适宜老人小孩居住，配套齐全，小区内有老年人活动场所及小孩活动的小操场
                  ",,,,
250,['夏霖园 满五年唯一商品房 采光足，电梯两居，产权清晰'],770,88121,"['海淀', '西北旺']",2室1厅1厨1卫,低楼层 (共9层),87.38㎡,平层,74.77㎡,板楼,南,钢混结构,简装,一梯三户,自供暖,有,2023-06-02,商品房,2006-10-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年唯一商品房 贷款方式均可 带电梯 全南朝向采光好
                  ","
                    夏霖园小区位于德政路与西北旺一街交叉口，2004年建成，共12栋楼，1、2号楼为9层电梯板楼，3-12号楼为6层板楼，采暖方式自采暖，物业费0.78元，户型方正，地上停车免费，设有电动车充电桩。
                  ","
                    1、一进门就可以看见宽敞明亮的朝南客厅。2、卧室空间也不小，采光也是不错，2个卧室朝南，温暖舒适的房间让您拥有每一个甜美夜晚。3、在温馨的朝南厨房中，您可以为您的家人准备美味可口的饭菜。4、干净方正的洗漱间，宽敞够用。
                  ","
                    业主闲置资产变现 ，贷款方式不限，交易周期优先短周期，房子属于大两居，空间好利用。
                  ","
                    房子是满五年唯一商品房 对贷款方式不限 只有契税 无其他成本
                  ",,,
251,['清润家园南北通透两居室  房本满5年 采光好视野开阔'],512,73989,"['海淀', '清河']",2室1厅1厨1卫,高楼层 (共6层),69.2㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2023-05-23,已购公房,2016-10-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房是满5年的成本价公房，南北通透，采光好视野开阔
                  ","
                    清润家园位于海淀区西三旗街道管辖属于清河商圈小区位于北五环外800米G6经藏高速东600米的位置小区建成于2010年小区是总共3栋塔楼，2栋板楼分开统一管理
                  ","
                    此房是满5年不唯一的公房，个税1%，契税首套1%还有土地出让金15.6元每平米；
                  ","
                    小区门口就有永辉，西边200米是物美大卖场、北京京北医院，门口有公交车站，距离地铁永泰庄地铁站950米，距离奥森公园2.5公里，生活出行很便利。
                  ","
                    小区出行方便 ，出小区门口 右转400米就是G6京藏高速 ，出门 左转1公里就是 黑泉路，往南可以直接到德胜门，奥运村。 地铁出行也方便 ，距离地铁 8号线永泰庄站和昌平南延线清河小营桥站只有 1.2公里（数据来自百度地图）
                  ",,,
252,['新上万寿路五棵松高层商品房两居室 满五年唯一仅契税'],820,79860,"['海淀', '五棵松']",2室2厅1厨1卫,高楼层 (共18层),102.68㎡,平层,暂无数据,塔楼,东,钢混结构,简装,两梯十户,集中供暖,有,2023-05-13,商品房,2017-04-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，西四环里，地铁边不临街格局方正，采光好安静
                  ","
                    西四环内，长安街2001年建成。小区人车分流，封闭式管理，刷卡扫脸进入，门口24小时安保，成熟社区，居住舒适。院内环境优美，绿植鲜花，园区配有儿童娱乐设施，以及老人健身器材室内娱乐活动场所等。管家式人对楼服务，解决业主日常需求，节日举办各种活动
                  ","
                    今日家园大两居，后排楼，户数少位置安静。进门之后有一个储物间，可以储放日常用品，客厅是朝东向的，带有一个大阳台，迎接清晨的阳光，每天都有好心情，主次卧室也朝东，厨房还有一个小阳台，卫生间空间也比较大，房间内光线很好，欢迎联系实地考察。
                  ","
                    小区电梯直达沃尔玛超市，上品折扣商场，楼下永辉超市，建设银行中国银行。福奈特洗衣店。药店。以及各地特色餐饮美食，华熙购物商场，生活交通很便利。
                  ","
                    地铁站五棵松 南门西翠路口西公交站 335，308，941，568等公交，出行方便。西边西四环 北邻长安街 南侧莲石路 东边西翠路万寿路，地理位置很好
                  ",,,
253,['三义庙北 精装修，东边户，好停车'],760,109891,"['海淀', '苏州桥']",3室1厅1厨1卫,中楼层 (共6层),69.16㎡,平层,暂无数据,板楼,东 南 北,混合结构,精装,一梯两户,集中供暖,无,2023-03-07,商品房,2016-09-27,普通住宅,满五年,非共有,"
                                有抵押 300万元 兴业 业主自还
                              ",已上传房本照片,"
                    满五年原值510万，精装修，大客厅。
                  ","
                    单独管理，前后不临街，这个院有固定停车位，停车方便，刷脸入院。
                  ","
                    房子是南北通透的三居室，精装修，现在业主改成了两居室带大客厅，餐厅带个窗户，可以东边窗的位置改成一个小卧室，保留大客厅
                  ","
                    业主2019年装修的，当时是想着自己住，现在个人原因忍痛割爱，房子装修标准高，可以直接拎包入住，北边卧室定做的榻榻米。
                  ",,,,
254,['宝盛西里2000年楼龄开发商样板楼，商品房楼层位置好'],535,74826,"['海淀', '清河']",2室1厅1厨1卫,低楼层 (共6层),71.5㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,2023-07-23,商品房,2011-07-04,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    品质优推房源，满五年唯一商品房，中间层，不临街位置好
                  ","
                    小区开发商是首开天鸿，物业也是自持的物业，2021年小区整体市政改造过，大门，地面，外立面，保温层，防水，绿化，上下水都改造完成了。
6-9层的板楼混合结构，小区居住舒适密度比较低，公园很多，西三旗公园，永泰绿色生态园，东小口森林公园。
                  ","
                    本房是房主安家北京的首套房子，发展的很安心顺利。
房子之前一直自住，保持的整体还不错，2层的不临街位置和楼层很合适，适合大部分的客户群体来购买此房。
小区配套齐全超市，果蔬店，餐厅很多生活便利，出门就是公园和公交站。
                  ","
                    房子是满五年唯一的商品房，首套贷款243万，二套贷款149万。
首套契税1%是3.74万，二套契税3%是11.2万，无其他税费，降低您的购房成本。
                  ",,,,
255,['乐府江南 观景三居 安静 次顶层 有车位 满五唯一'],1460,102292,"['海淀', '田村']",3室1厅1厨2卫,高楼层 (共9层),142.73㎡,平层,121.47㎡,板塔结合,西南,钢混结构,精装,一梯三户,集中供暖,有,2023-04-20,商品房,2006-08-31,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五唯一，格局好，次顶层，观景效果好，采光充足，配套设施齐全
                  ","
                    咱们乐府江南小区是2005年建成的，整个小区绿树成荫，生机盎然，并且都是5-9层的板楼，有电梯，小区车位1：1，全部地下车位，人车分流，停车并不紧张，长城物业，物业费是2.19元，定期维护修剪绿化灌木，清理小区花园和凉亭的垃圾，管理好
                  ","
                    房子满五年，业主家庭名下唯一住房，首套购买1.5%的契税，二套购买3%的契税，有增值税，无个税。
                  ","
                    房子没有抵押，产权清晰，卖房是变现，诚意卖，看房方便，看好可以签约。
                  ",,,,
256,['海淀北二环积水潭西直门志强北园'],599,98683,"['海淀', '小西天']",2室1厅1厨1卫,中楼层 (共6层),60.7㎡,平层,暂无数据,板楼,西南,混合结构,精装,一梯四户,集中供暖,无,2023-07-17,商品房,2015-11-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五唯一商品房，楼龄新，1996年的楼，配套设施完善。
                  ","
                    此房楼层适中，适合一家三口上班的家庭，不临街、闹中取静，小区独门独院，交通方便，地铁公交，适合上班族。
                  ","
                    距离积水潭地铁860米（来源百度地图），距离志强北园公交站牌85米、距离小西天公交站牌450米，1000米内有三大休闲娱乐公园：老舍公园、谭西胜境、西海湿地公园。医院有火箭军总医院、积水潭医院、人民医院。1000米内商场：枫蓝国际、新华百货。
                  ","
                    房子是满五唯一商品房，首套1%的契税，二套3%的契税。没有其他税费。
                  ","
                    精装修，2021年万链精装修，租户保持的也很不错。用的东西也都是品牌的。
                  ",,,
257,['已经全部改造 不限人群 不临街  视野开阔 交通便利'],600,92536,"['海淀', '苏州桥']",2室1厅1厨1卫,顶层 (共6层),64.84㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2023-02-17,已购公房,2008-04-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    已经全部改造完 满五年公房 不临街 无遮挡 视野开阔
                  ","
                    小区门口就是城乡仓储商城，完全可以满足基本生活所需。还有世纪金源万柳华联华宇等，集餐饮，娱乐，商场购物，儿童游乐等为一体的大型购物商城，有三级的海淀医院，海淀妇幼等大型医院，医疗配套齐全
                  ","
                    此房属于小南庄的经典两居户型，南北通透 主卧朝南 次卧朝北 客厅在中间 动静分离，户型方正，格局合理
                  ","
                    小区东边就是万泉河快速路，小区门口就有公交车站。往北走980米就是10号线苏州街站，往南走就是16号线苏州桥站。
                  ",,,,
258,['此房是满五唯一，南北通透，低楼层，通风好采光好'],699,101452,"['海淀', '小西天']",3室1厅1厨1卫,低楼层 (共6层),68.9㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,2023-06-25,商品房,1993-10-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五唯一公房，南北通透三居室，低楼层采光好
                  ","
                    楼层较低，南北通透采光好，适合老人和婴幼儿居住。配套设施齐全，生活方便，离地铁近，交通便利，位于北二环地段，适合各地通勤人士。
                  ","
                    1985年的社区，即将进行老旧社区改造，南北通透的户型，通风好，采光无遮挡，居住舒适。
                  ","
                    满五唯一的公房，一手业主，老人在这里居住了三十年，老人年龄大了，儿女们接到了身边方便照顾，此房离儿女家比较远，不方便搭理，就诚意出售了。
                  ","
                    老人一人的房本，产权清晰，家人意见一致，都诚意出售，老人意识清晰，能随时签约。
                  ",,,
259,['海淀五棵松 可对外2号院两居 满五唯一出现购物便利'],410,81674,"['海淀', '五棵松']",2室1厅1厨1卫,高楼层 (共6层),50.2㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,2023-03-12,商品房,2016-06-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五唯一商品房 南向眼镜户型 位置安静不临街 近地铁商超 诚售
                  ","
                    小区是航天公房社区，小区绿化好，活动空间大，有多个小健身广场，物业是华润物业，供暖方式：市政集中供暖，小区管理严格，24小时保安，大部分都是院里面的职工居住，人文素质高，邻里关系融洽，适合居住。
                  ","
                    购物有：华熙购物，蓝色港湾，永辉 ，天客隆，银行有：中国银行，北京银行，工商银行等，医院有：301医院，武警总院，航天医院等，公园有：五棵松公园，星期八主题公园，餐饮有：必胜客，KFC，呷哺呷哺，西贝莜面村等。
                  ","
                    小区南侧是长安街，西侧永定路，东侧西四环，小区的东南角是五棵松地铁A口，小区南门口公交车站是：永定路口东站（1路，337路，370路，运通120路，76路等）多趟公交车，出西门就是：永定路口北公交站（334路，611路，701路，运通113路等）出行方便。
                  ",,,,
260,['科技大学 1室1厅 南 北'],499,112591,"['海淀', '二里庄']",1室1厅1厨1卫,中楼层 (共12层),44.32㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯五户,集中供暖,有,2023-04-13,商品房,2016-09-19,普通住宅,满五年,共有,"
                                有抵押 160万元
                              ",已上传房本照片,,,,,,,,
261,['小南庄社区 电梯 西南三居 视野开阔 无遮挡'],1030,100381,"['海淀', '苏州桥']",3室1厅1厨1卫,顶层 (共18层),102.61㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,两梯八户,集中供暖,有,2023-06-09,商品房,2009-02-20,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房是满五年唯一的商品房，房子无抵押，无户口，产权清晰
                  ","
                    房子带电梯，适合家里有老人一起居住，房子不临街比较安静，居住人群单一。
                  ","
                    房子户型比较好，客厅朝南，两个卧室朝南，有3个阳台，所以使用面积比较大
                  ","
                    业主是要回老家，不在北京发展了，所以处理北京的房产，专门从外地来北京，随时进行看房。
                  ","
                    小区旁边有海淀公园，有城乡仓储超市，万柳华联，世纪金源，华宇购物大厦等。
                  ","
                    交通方便，从小区出来步行400米（高德地图显示）可以到地铁16号线苏州桥站，小区门口也有公交车站，途经的公交车线路有365、361、外8等。
                  ",,
262,['西直门 远洋风景小区 两居室带装修  看房方便'],888,110959,"['海淀', '小西天']",2室1厅1厨1卫,中楼层 (共13层),80.03㎡,平层,暂无数据,板楼,东 西,钢混结构,精装,一梯两户,自供暖,有,2023-07-14,商品房,2003-09-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房有装修，中间楼层，业主诚心出售看房方便。
                  ","
                    小区是远洋开发，远洋自持物业，管理好，24小时保安，有两个出入大门，人车分流，环境好。
                  ","
                    房子是远洋风景小区2003年商品房社区，楼龄新。户型方正有明厅，落地窗采光好。
                  ","
                    出小区南门是北二环，西直门地铁站2.4.13号线，交通便利。
                  ",,,,
263,['五棵松 永定翠庭 精装两居室 无遮挡'],1150,141556,"['海淀', '五棵松']",2室1厅1厨1卫,底层 (共18层),81.24㎡,平层,暂无数据,板塔结合,东,钢混结构,精装,两梯七户,自供暖,有,2023-04-24,商品房,2020-05-06,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    西四环 五棵松  2019年小区 精装修 户型方正
                  ","
                    永定翠庭是2019年的小区，共5栋楼，在售的3栋楼，进出需要刷卡，人脸识别，地库入户，小区中间有喷泉，水系，环境优美。
                  ","
                    商场：华熙LIVE，万达广场，西点茂，顺天府，物美。 医院：解放军301医院（三甲），中西医结合医院（三甲），解放军第三医学（三甲）。
                  ","
                    房子为商品房，首套购房契税1%，二套购房契税3%，满二年，无增值税，原值高，无个税。
                  ","
                    房子是开发商精装修的，壁布 ，地暖，没怎么住过，保持的很干净。
                  ","
                    小区东门到复兴路200米，地铁：小区东门到地铁1号线五棵松站786米（数据来源于百度地图）。 公交：64，701，334，611，941，运通113。
                  ",,
264,['1201社区中间楼层带客厅南北通透停车600每年'],530,92335,"['海淀', '北太平庄']",3室1厅1厨1卫,中楼层 (共5层),57.4㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯三户,集中供暖,无,2023-07-14,央产房,1999-02-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年公房，中间层，有客厅，南北通透，报价低
                  ","
                    小区是央产大院，楼龄五十年代到九十年代的都有，全是板楼，环境很好，原来的工程兵建的质量也好，墙体很厚，停车50元/月，北边就是元大都公园
                  ","
                    满五年央产房，首套1%契税和1%的个税，15.6乘以面积的土地出让金
                  ","
                    小区出门就是元大都公园和美廉美，距离地铁10和19号线500米，北边就是北医三院，旁边就是翠微百货和各大银行，出门22路公交总站。
                  ",,,,
265,['紫竹桥北洼路28号院少出的户型'],1085,96146,"['海淀', '紫竹桥']",3室2厅1厨1卫,低楼层 (共18层),112.85㎡,平层,暂无数据,塔楼,东南,钢混结构,毛坯,两梯十一户,集中供暖,有,2023-06-30,央产房,2015-02-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年的公房，税费少，多年少出的好户型，采光和视野以及通风好
                  ","
                    房子是多年出房量很少的户型格局，三卧室朝南，客厅朝东。适合三代人居住。采光和视野都没问题。
                  ","
                    97年中国通用技术总公司分房。钢混结构，三卧朝南向，客厅朝北向，小区把边，把头上户型。没有浪费面积，视野和采光都好，没有遮挡。通风效果好。
                  ","
                    小区西侧是北洼园公园，饭后活动的好去处，有孩子的可以去这与一群孩子玩耍。小区东侧是首师大。小区西门口有公家站87，437路。北洼路上有京味斋和龙腾选特色餐馆，建航，北京银行，工商，中信，邮储等银行。物美超市，菜场等等，配套成熟。
                  ",,,,
266,['世华龙樾一期西区满两年，精装修。'],730,93327,"['海淀', '清河']",2室1厅1厨1卫,中楼层 (共15层),78.22㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,2023-08-17,商品房,2024-07-28,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满两年，原值137万，高层采光好，小区2014年新小区，
                  ","
                    房子满两年，原值137万，全款客户或贷款低的客户，交易只有契税。
                  ","
                    房子目前是空置，看房有钥匙，精装修中式装修风格，保持的还不错。
                  ","
                    小区出南门200米就是地铁8号线西小口站，小区门口还有专89路和379路公交车，出行方便
                  ",,,,
267,['建材城东一里 南北通透 中间楼层 海淀产权 正规两居'],390,64431,"['海淀', '西三旗']",2室1厅1厨1卫,中楼层 (共6层),60.53㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2023-07-06,已购公房,2016-12-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年公房，南北通透格局，中间楼层，视野开阔，采光充足
                  ","
                    此房所在小区1996年建成，满五年的成本价公房，中间楼层，户型方正，布局合理，适合刚需的年轻人居住。
                  ","
                    房子是6层板楼，不带电梯，2020年改造完成，进门就是客厅，主卧室朝南带阳台，次卧室朝北，厨房朝北带阳台，卫生间在客厅边上使用方便，房子南北通透，户型方正，房子居住舒适度高。
                  ","
                    本房目前满五年，购买方有契税首套1%，增值税及其附加0，土地出让金15.6元/平米（共944.268元），个税1%（和满五年唯一几乎无差距）。
                  ","
                    小区配套完善，小区600米范围内有翡丽公园、西三旗万象汇、新都购物广场、美廉美、工商银行、金逸影城、餐馆等； 小区1600米范围内有霍营地铁站、昌平中西结合医院、贺新公园、北京国际温泉酒店； 购物、医疗、娱乐等
                  ",,,
268,['翠微小教工楼中间楼层，南北通透精装两居室，看房方便'],617,116328,"['海淀', '公主坟']",2室1厅1厨1卫,中楼层 (共6层),53.04㎡,平层,暂无数据,板楼,北 南,混合结构,精装,一梯两户,集中供暖,无,2023-07-14,商品房,2012-09-12,普通住宅,满五年,共有,"
                                有抵押 70万元 公积金 业主自还
                              ",已上传房本照片,"
                    此房是满5年 中间楼层 楼龄新，南北向采光好
                  ","
                    房子是南北通透采光好，前后无遮挡，户型通透 ，面积无浪费，楼层是三层半 北侧就是操场 可以看到自己家的孩子
                  ","
                    房子是翠小教工楼宿舍且满5年，税费低，产权清晰，首套1%，二套3%
                  ","
                    有翠微大厦，城乡贸易，凯德晶品，印象城，玉渊潭公园，电视塔，水利医院，301解放军总医院，空军总医院，海军
                  ","
                    小区东边是地铁公主坟站1号线和10号线，公交414，1,308,335,603.613.78等多路公交。南面是复兴路，东面是西三环，北面是阜石路
                  ",,,
269,['建材城东二里电梯2居室诚意出售'],466,69688,"['海淀', '西三旗']",2室1厅1厨1卫,高楼层 (共22层),66.87㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯十户,集中供暖,有,2023-05-26,商品房,2018-04-26,普通住宅,满五年,共有,"
                                有抵押 70万元
                              ",已上传房本照片,"
                    西南朝向全明格局，高楼层带电梯，视野一览无余
                  ","
                    建材城东二里小区是1998-2002年建成的，此栋楼建成年代是2000年，此栋楼带电梯，以六层的板楼为主，金隅大成的物业，物业费0.873元/平米，集中供暖，地上停车，停车费150元/月，小区环境好，户型丰富，密度比较低的，物业负责仁，24小时安保，摄像头覆盖。
                  ","
                    有东小口城市休闲公园、贺新公园等公园，公园林立，小区门口有工商银行，达到三甲标准的昌平中西医结合医院3千米，新都购物广场距离小区南门1千米，新都购物广场有影院、美廉美、味多美等，生活便利(以上数据来源于高德地图)
                  ","
                    建材城东二里位于海淀区西三旗，是海淀区的东北角，小区南门就是建材城东路，距离小区50米内有公交车站硅谷小区站，公交车432.520.614.617等可以乘坐，乘公交车向西4站地就是地铁8号线育新站，交通出行方便
                  ",,,,
270,['翠微小教工楼中间楼层，南北通透精装两居室，看房方便'],617,116328,"['海淀', '公主坟']",2室1厅1厨1卫,中楼层 (共6层),53.04㎡,平层,暂无数据,板楼,北 南,混合结构,精装,一梯两户,集中供暖,无,2023-07-14,商品房,2012-09-12,普通住宅,满五年,共有,"
                                有抵押 70万元 公积金 业主自还
                              ",已上传房本照片,"
                    此房是满5年 中间楼层 楼龄新，南北向采光好
                  ","
                    房子是南北通透采光好，前后无遮挡，户型通透 ，面积无浪费，楼层是三层半 北侧就是操场 可以看到自己家的孩子
                  ","
                    房子是翠小教工楼宿舍且满5年，税费低，产权清晰，首套1%，二套3%
                  ","
                    有翠微大厦，城乡贸易，凯德晶品，印象城，玉渊潭公园，电视塔，水利医院，301解放军总医院，空军总医院，海军
                  ","
                    小区东边是地铁公主坟站1号线和10号线，公交414，1,308,335,603.613.78等多路公交。南面是复兴路，东面是西三环，北面是阜石路
                  ",,,
271,['世华龙樾一期西区满两年，精装修。'],730,93327,"['海淀', '清河']",2室1厅1厨1卫,中楼层 (共15层),78.22㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,2023-08-17,商品房,2024-07-28,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满两年，原值137万，高层采光好，小区2014年新小区，
                  ","
                    房子满两年，原值137万，全款客户或贷款低的客户，交易只有契税。
                  ","
                    房子目前是空置，看房有钥匙，精装修中式装修风格，保持的还不错。
                  ","
                    小区出南门200米就是地铁8号线西小口站，小区门口还有专89路和379路公交车，出行方便
                  ",,,,
272,['文慧园 大客厅2居室 近积水潭 1997年 看房方便'],619,99678,"['海淀', '小西天']",2室1厅1厨1卫,中楼层 (共6层),62.1㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2023-07-19,已购公房,2002-03-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年不唯一 户型方正 大客厅 中间层 诚心出售 随时可看
                  ","
                    医院：火箭军总医院、积水潭人民医院。购物：枫蓝国际、凯德MALL、新华百货、永辉超市、物美超市
                  ","
                    小区位于北二环外，积水潭地铁比较方便。小区出门有公交，索家坟公交站、文慧桥公交站、明光桥公交站、玉桃园公交站。地铁，西直门、积水潭。地铁积水潭2号线19号线1公里（参考百度地图）出行交通便利。
                  ","
                    房子产权清晰，无查封、无冻结，可以正常交易，看房方便，海淀产权，生活便利
                  ",,,,
273,['清枫华景园，设计两居室格局结构已出，欢迎咨询！'],808,94936,"['海淀', '学院路']",2室1厅1厨1卫,低楼层 (共18层),85.11㎡,平层,暂无数据,板塔结合,东,钢混结构,精装,两梯六户,集中供暖,有,2023-03-31,商品房,2018-10-09,普通住宅,满两年,共有,"
                                有抵押 260万元 建设银行 客户偿还
                              ",已上传房本照片,"
                    满两年，原值467万，个税差没，只有契税，诚意出售，看房提前..
                  ","
                    小区是2005年成熟社区，环境优雅，封闭式管理，小区临街，人车分流，地下有二层停车位，1号楼和4号楼是清华内部职工团购的，本小区是清华和华清物业共同开发的，居住的有三分之一是清华职工，人文素质高，小区内有假山、水系、凉亭，儿童娱乐场地等；
                  ","
                    小区东边200米有圣熙八号购物广场，美廉美，嘉华国际影城，58同城，学清美食城；距离小区3公里有北医三院，999急救医院，奥森公园，八家郊野公园；跟前配套成熟，交通便利；
                  ","
                    本房是商品房，满二年，个税可以差没，只有契税，诚意出售，价格可谈！
                  ",,,,
274,['链家房源 普惠南里 满五唯一住房 双南向 有电梯'],695,101165,"['海淀', '公主坟']",2室1厅1厨1卫,低楼层 (共20层),68.7㎡,平层,暂无数据,塔楼,西南,钢混结构,简装,两梯十户,集中供暖,有,2023-07-20,央产房,2004-05-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五唯一住房，购房成本低，电梯房，南向，随时可以安排看房
                  ","
                    有电梯，双南向的2居，进门是一个客厅，客厅大概是9-10平米。
                  ","
                    单独一个人的产权，产权清晰，随时可以交易，家庭都同意出售此房。
                  ","
                    地铁：1号线和10号线的换成站公主坟站。小区门口就有公交站牌，交通很顺利
                  ",,,,
